Job Title,Job Experience Required,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Year Bucket,Year bin
 Workflow Coordinator,2 - 7 yrs,"Delhi,Delhi","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst,77.22193879999998,28.6517178,2063,2,0-5
 Looking Facebook /social Media Manager For our Digital Marketing Ageny,2 - 4 yrs,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager,77.00270015,28.42826235,6979,2,0-5
 Wanted Engineering Fresher For MNC Chennai,0 - 1 yrs,Chennai,Other,Other,Other,80.270186,13.0836939,1513,0,0-5
 Tooling &amp; Sampling,2 - 7 yrs,Faridabad,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer,77.3105561,28.4031478,6622,2,0-5
 Account Manager,3 - 7 yrs,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,72.8773928,19.0759899,5324,3,0-5
 Magento Developer,2 - 7 yrs,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer,72.5797068,23.0216238,6891,2,0-5
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,0 - 3 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,6493,0,0-5
 Business Development / Corporate Sales,0 - 4 yrs,Delhi NCR,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.12121479999998,28.6882438,1564,0,0-5
 Business Development Manager (BDM),2 - 5 yrs,"Delhi,Delhi","Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.22193879999998,28.6517178,5439,2,0-5
 QA Executive,2 - 5 yrs,Hyderabad,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive,78.4740613,17.360589,5434,2,0-5
 Back End Java Developer - Restful Services/soap,6 - 8 yrs,Bengaluru,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4114,6,0-5
 Product Engineer,4 - 9 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4897,4,0-5
 Opening For Articulate tool Developer - Articulate / Captivate)chennai,3 - 5 yrs,Chennai,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer,80.270186,13.0836939,4626,3,0-5
 Urgent Hiring for Area Sales Manager,7 - 12 yrs,"Ambala,Gurgaon","Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager,76.770421,30.3843674,1724,7,6-10
 Software Engineer - C++ Development - Ooad/oops,4 - 9 yrs,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,80.270186,13.0836939,4562,4,0-5
 Linux Administrator Lead,5 - 10 yrs,"Gurgaon,Gurgaon","IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator,77.00270015,28.42826235,5425,5,0-5
 Hiring for Tech Pm/scrum Master for Hyderabad Location,8 - 10 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software,78.4740613,17.360589,5286,8,6-10
 US Based Financial Company Looking For Java API Engineers For HYD,6 - 8 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,5198,6,0-5
 Strong Partner Ecosystem,2 - 7 yrs,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead,77.3271074,28.5707841,4494,2,0-5
 Wordpress Web Developer,3 - 6 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,77.590082,12.9767936,4689,3,0-5
 Senior Executive- Contract Logistics- Bom WP-A,2 - 5 yrs,Mumbai,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive,72.8773928,19.0759899,3815,2,0-5
 Accounts Manager,2 - 3 yrs,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant,72.8773928,19.0759899,3252,2,0-5
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,0 - 3 yrs,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,3087,0,0-5
 nutanix sme ,15 - 20 yrs,Bengaluru,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager,77.590082,12.9767936,1965,15,11-17
 System Architect - 3g/4g Wireless Network Architecture & Migration,10 - 16 yrs,Mumbai,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect,72.8773928,19.0759899,3883,10,6-10
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban", 2 - 7 Years," Hyderabad, Bengaluru","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,77.63703840000002,13.023331,5273,2,0-5
 Java Developer,6 - 8 yrs,Pune,Other,Other,Other,73.8544541,18.521428,4087,6,0-5
 Regional Representative,0 - 3 yrs,Noida,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.3271074,28.5707841,4615,0,0-5
 Hiring For Record To Report,1 - 4 yrs,"Gurgaon,Noida","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,6666,1,0-5
 Product & Regional Sales Manager,3 - 6 yrs,Mumbai,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager,72.8773928,19.0759899,6397,3,0-5
 Senior Manager/associate Director - Mandarin,10 - 15 yrs,"Delhi,Gurgaon","Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales,77.02225240000001,28.5061017,3009,10,6-10
 ODI Developer/lead ODI Developer - RACI,5 - 10 yrs,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,72.8773928,19.0759899,4707,5,0-5
 UI Developer,2 - 4 yrs,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3271074,28.5707841,6928,2,0-5
 Assistant Manager ,5 - 8 yrs,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,2117,5,0-5
 Android Developer,2 - 5 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,2293,2,0-5
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad,1 - 4 yrs,Ahmedabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),72.5797068,23.0216238,6757,1,0-5
 iOS Developer,2 - 5 yrs,"Chandigarh,Chandigarh",IT Software - Mobile,"IT-Software, Software Services",Software Developer,76.7797143,30.733442100000005,3523,2,0-5
 F&A Black belt - Process Excellence Lead,8 - 13 yrs,"Chennai,Gurgaon,Bengaluru","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Team Leader -(NonTechnical),77.56452320000002,13.0149021,3759,8,6-10
 IT - Head (preferably from an NGO),15 - 20 yrs,Delhi NCR,Other,"NGO, Social Services, Regulators, Industry Associations",Other,77.12121479999998,28.6882438,5898,15,11-17
 Digital Content Producer For largest Media House,3 - 8 yrs,"Bengaluru,Hyderabad","Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer,77.63703840000002,13.023331,3515,3,0-5
 Manager Holidays,6 - 10 yrs,Mumbai,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales/Business Development Manager,72.8773928,19.0759899,6136,6,0-5
 Backend Developer,1 - 5 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer,77.590082,12.9767936,4176,1,0-5
 JUNIOR BIG DATA ANALYST IN,1 - 3 yrs,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Business/EDP Analyst,77.590082,12.9767936,2074,1,0-5
 Chief Engineer,11 - 15 yrs,Hyderabad,Top Management,"Travel , Hotels , Restaurants , Airlines , Railways",CEO/MD/Director,78.4740613,17.360589,2994,11,6-10
 Oracle DBA Consultant - Data Guard/rac Modules,2 - 5 yrs,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA,72.8773928,19.0759899,1528,2,0-5
 Global HR Operations Analyst,1 - 4 yrs,Gurgaon,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive,77.00270015,28.42826235,6377,1,0-5
 Compiler- Support Engineer,5 - 10 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer,77.590082,12.9767936,4462,5,0-5
 Key Accounts Manager,0 - 0 yrs,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Telcom, ISP",Client Servicing/Key Account Manager,77.590082,12.9767936,2096,0,0-5
 Head Sales- Coworking Company,7 - 12 yrs,Delhi NCR,"Sales , Retail , Business Development","Real Estate, Property",Head/VP/GM/National Manager -Sales,77.12121479999998,28.6882438,6305,7,6-10
" Clubhouse Manager, Facility Manager,",2 - 5 yrs,Bengaluru,Beauty / Fitness / Spa Services,Facility Management,Centre Head / Branch Head / Club Manager,77.590082,12.9767936,3408,2,0-5
 Sales Manager - Education Sales,5 - 7 yrs,Gurgaon,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager,77.00270015,28.42826235,2856,5,0-5
 HR Associate,0 - 2 yrs,Hyderabad,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive,78.4740613,17.360589,5736,0,0-5
 Manager / Sr Manager - Digital Ad Sales - Ecommerce,4 - 9 yrs,"Delhi NCR,Mumbai","Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager,121.0977529,14.671973199999998,3637,4,0-5
 Architect Junior/ Middle level,1 - 2 yrs,Noida,"Architecture , Interior Design","BPO, Call Centre, ITeS",Project Architect,77.3271074,28.5707841,2577,1,0-5
 php developer,3 - 4 yrs,Gurgaon,IT Software - Other,"Recruitment, Staffing",Software Developer,77.00270015,28.42826235,4436,3,0-5
 Openstack Engineer / Openstack Admin with Ceph Storage,6 - 11 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,77.590082,12.9767936,3679,6,0-5
 Sr. Software Engineer,4 - 8 yrs,Noida,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer,77.3271074,28.5707841,5975,4,0-5
 Software Engineering- Mentor,1 - 5 yrs,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer,77.590082,12.9767936,3935,1,0-5
 Application Tester,3 - 8 yrs,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer,80.270186,13.0836939,5256,3,0-5
 Credit Control - Manager / Asst. Manager,3 - 5 yrs,Pune,Other,"Travel , Hotels , Restaurants , Airlines , Railways",Other,73.8544541,18.521428,3675,3,0-5
 Night Shift - Non Voice / Web Chat - BPO,0 - 5 yrs,"Ahmedabad,Gandhinagar,Vadodara","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),72.6300562,23.0876721,1738,0,0-5
 Design Engineer Mechanical,7 - 12 yrs,Kolkata,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Design Engineer,88.35769124,22.5414185,6330,7,6-10
 Android developer,1 - 3 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4041,1,0-5
 Technical Writer,4 - 7 yrs,Gurgaon,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer,77.00270015,28.42826235,3753,4,0-5
" Pro-Engineer , Matlab ,Ansys",3 - 7 yrs,Hyderabad,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer,78.4740613,17.360589,2994,3,0-5
 Business Development Executive - Kolkata,2 - 6 yrs,Kolkata,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales/Business Development Manager,88.35769124,22.5414185,6744,2,0-5
 Accountant - UK Based Accounting,1 - 6 yrs,Ahmedabad,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,72.5797068,23.0216238,5060,1,0-5
 Opportunity For Current Account RM ||bank || Delhi,2 - 7 yrs,Delhi NCR,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,77.12121479999998,28.6882438,6436,2,0-5
 PHP Developer,1 - 5 yrs,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3271074,28.5707841,3541,1,0-5
 Senior Engineering Maintenance Manager For Knitting and ZLD System,12 - 22 yrs,Bengaluru,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Engineering Manager,77.590082,12.9767936,1802,12,11-17
 Accounting Specialist,0 - 3 yrs,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant,73.8544541,18.521428,4227,0,0-5
 Manager (Service Operation),8 - 12 yrs,Chennai,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Training Manager,80.270186,13.0836939,5688,8,6-10
 DevOps Engineer Intern,0 - 1 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,5179,0,0-5
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),2 - 5 yrs,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.5797068,23.0216238,6185,2,0-5
 Java Developer,1 - 2 yrs,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.8773928,19.0759899,4877,1,0-5
 Sr. Manager- Business Development,15 - 22 yrs,Ahmedabad,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,72.5797068,23.0216238,6269,15,11-17
 Test Principal Engineer,8 - 10 yrs,Bengaluru,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,77.590082,12.9767936,1586,8,6-10
 Graphic Designer,2 - 7 yrs,Ahmedabad,"Design , Creative , User Experience","Architecture, Interior Design",Graphic Designer,72.5797068,23.0216238,3076,2,0-5
 Business Development Executive,1 - 3 yrs,Bengaluru,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer,77.590082,12.9767936,4264,1,0-5
 Animation Resident,2 - 6 yrs,Delhi,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing Executive,77.22193879999998,28.6517178,2876,2,0-5
Enterprise Business Development Representative, 1 - 3 Years,Bengaluru,"Sales , Retail , Business Development",IT-Software / Software Services,Sales Executive / Officer,77.590082,12.9767936,4577,1,0-5
 Dot Net Developer,2 - 5 yrs,"Chennai,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,79.8077463,11.9256207,4154,2,0-5
" Urgent Opening for ""US Staffing Professionals"" - Noida",1 - 5 yrs,"Delhi NCR,Noida","HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,121.0977529,14.671973199999998,2548,1,0-5
 Front Office Executive-Noida,1 - 2 yrs,Noida,"Executive Assistant , Front Office , Data Entry","Recruitment, Staffing",Receptionist,77.3271074,28.5707841,2882,1,0-5
 Project Executive/coordinator,2 - 4 yrs,Delhi (Bhikaji Cama) ,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator,77.18787090000002,28.5702618,6053,2,0-5
 Sterling OMS Architect,5 - 10 yrs,Chennai,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect,80.270186,13.0836939,1889,5,0-5
 Dot net Developer,3 - 5 yrs,"Gurgaon,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.00270015,28.42826235,6744,3,0-5
 Centreless Grinding Operator ,4 - 8 yrs,Pune,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician,73.8544541,18.521428,1586,4,0-5
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,8 - 13 yrs,Gurgaon,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,77.00270015,28.42826235,5161,8,6-10
 Sales Lead,3 - 7 yrs,Bengaluru,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer,77.590082,12.9767936,5684,3,0-5
 Senior Design Engineer - Manufacturing,6 - 8 yrs,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager,73.8544541,18.521428,3248,6,0-5
 Software Engineer Automation - Industrial Automation Job In Bangalore,3 - 5 yrs,Bengaluru,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead,77.590082,12.9767936,2265,3,0-5
 Looking For Assistant Manager - Healthcare (US Visa is Must),5 - 10 yrs,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical),80.270186,13.0836939,1569,5,0-5
 Senior Accounts Executive,4 - 8 yrs,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,88.35769124,22.5414185,3724,4,0-5
 QA for Voice Process (LE-0097-N1C),2 - 6 yrs,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive,73.8544541,18.521428,3930,2,0-5
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",0 - 3 yrs,Delhi NCR,Other,"Medical, Healthcare, Hospitals",Other,77.12121479999998,28.6882438,3934,0,0-5
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,4 - 9 yrs,Gurgaon,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager,77.00270015,28.42826235,6023,4,0-5
 Account Assistant,3 - 5 yrs,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant,73.8544541,18.521428,2776,3,0-5
 Informatica Faculty Job Requirement in Hyderabad,1 - 6 yrs,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,78.4740613,17.360589,1900,1,0-5
 SEO Expert/ Digital Marketing Gurgaon,2 - 4 yrs,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist,77.00270015,28.42826235,3304,2,0-5
 Head Engineering,5 - 10 yrs,Delhi,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager,77.22193879999998,28.6517178,6496,5,0-5
 Business Development Executive,5 - 10 yrs,Delhi,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Financial Analyst,77.22193879999998,28.6517178,3327,5,0-5
 PPC Executive,3 - 7 yrs,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist,77.00270015,28.42826235,5858,3,0-5
 Opening For the post of Mr/territory Business Manager in An Pharma,0 - 2 yrs,"Delhi NCR,Delhi","Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative,121.0977529,14.671973199999998,6677,0,0-5
 Deputy Manager - Program Management,2 - 6 yrs,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance,73.8544541,18.521428,6256,2,0-5
 Public Relations Manager - Bangalore,6 - 11 yrs,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager,77.590082,12.9767936,2980,6,0-5
 Female Fresher's Counsellor- Gurgaon,0 - 1 yrs,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Fresher,77.00270015,28.42826235,3203,0,0-5
 BE Chemical - Fresher,0 - 2 yrs,"Ahmedabad,Bharuch","Production , Manufacturing , Maintenance","Recruitment, Staffing",Fresher,72.9384385,21.7379333,2117,0,0-5
 Hiring a Valuation Associate (female Only),0 - 4 yrs,Gurgaon,Analytics & Business Intelligence,"Real Estate, Property",Other,77.00270015,28.42826235,6276,0,0-5
 Merchandising & Marketing- Professor,10 - 12 yrs,Pune,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,73.8544541,18.521428,5173,10,6-10
 Medical Transcriber,3 - 5 yrs,Delhi,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing,77.22193879999998,28.6517178,6125,3,0-5
 PHP Developer,0 - 3 yrs,"Noida,Noida/Greater Noida","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3327483,28.54322285,5518,0,0-5
 Business Development Manager,1 - 2 yrs,Noida,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager,77.3271074,28.5707841,5099,1,0-5
 Looking for a Job Change With a good package,1 - 5 yrs,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,5809,1,0-5
 Huge Requirement for Customer Care Executive with Fixed Salary,0 - 2 yrs,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,4466,0,0-5
Assistant Manager – BI&I (data Automation), 5 - 7 Years, Mumbai,"IT Software - Application Programming , Maintenance",Banking / Financial Services / Broking,IT/Networking-Manager,72.8773928,19.0759899,1565,5,0-5
 Field Sales Executive,0 - 2 yrs,Ghaziabad,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,77.45268496,28.7218316,3150,0,0-5
 Sr. Manager Sales Capability Building,10 - 15 yrs,Kolkata,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Sales Trainer,88.35769124,22.5414185,3702,10,6-10
 Service Ops Expert - Servc Del | Microland,2 - 5 yrs,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),72.8773928,19.0759899,5079,2,0-5
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females),4 - 9 yrs,"Ahmedabad,Indore","Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty",Trainer,75.82261559999998,22.7066324,6619,4,0-5
 Sales Manager,3 - 6 yrs,Chandigarh,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,76.7797143,30.733442100000005,4874,3,0-5
 Field Support Team-Supervisor,4 - 5 yrs,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance",Other,Technical Support Engineer,72.5797068,23.0216238,5698,4,0-5
 Sr. C# Developer,1 - 6 yrs,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.5797068,23.0216238,5162,1,0-5
 Sr Structural Engineer,5 - 10 yrs,Mumbai,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer,72.8773928,19.0759899,4160,5,0-5
 IT Security Head ,4 - 8 yrs,Hyderabad,"IT Software - Network Administration , Security","IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO,78.4740613,17.360589,3495,4,0-5
 Technical Support Executive,2 - 5 yrs,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Associate/Senior Associate -(Technical),73.8544541,18.521428,5049,2,0-5
 Analyst - Business Intelligence,1 - 3 yrs,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst,72.8773928,19.0759899,6346,1,0-5
Nokia WING Circuit Core - SMSC Engineer, 5 - 10 Years,Noida,"IT Software - Network Administration , Security",Telecom / ISP,Software Developer,77.3271074,28.5707841,2040,5,0-5
 Assistant Restaurant Manager / Restaurant Manager,5 - 7 yrs,Delhi NCR,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Restaurant Manager,77.12121479999998,28.6882438,4142,5,0-5
 Digital / Web Artist,0 - 3 yrs,"Mumbai,Mumbai","Design , Creative , User Experience","Advertising, PR, MR, Event Management",Graphic Designer,72.8773928,19.0759899,2409,0,0-5
 Business Development Manager,2 - 7 yrs,"Mumbai,Mumbai","Sales , Retail , Business Development","IT-Software, Software Services",Head/VP/GM/National Manager -Sales,72.8773928,19.0759899,5623,2,0-5
 Web/ GUI Designer,3 - 5 yrs,Gurgaon,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer,77.00270015,28.42826235,3031,3,0-5
" Web Designer - Html, CSS, Bootstrap, Photoshop",1 - 3 yrs,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing",Graphic/Web Designer,72.5797068,23.0216238,5617,1,0-5
 Python Developer,1 - 3 yrs,Chennai,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,80.270186,13.0836939,6417,1,0-5
 Web Designer,4 - 5 yrs,Ahmedabad,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer,72.5797068,23.0216238,6991,4,0-5
