Job Title,Job Experience Required,Location,Functional Area,Industry,Role,Longitude,Latitude,sal
 Opportunity For Current Account RM ||bank || Delhi,2 - 7 yrs,Delhi NCR,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,77.12121479999999,28.688243800000002,6436
 PHP Developer,1 - 5 yrs,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3271074,28.5707841,3541
 Senior Engineering Maintenance Manager For Knitting and ZLD System,12 - 22 yrs,Bengaluru,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Engineering Manager,77.590082,12.9767936,1802
 Accounting Specialist,0 - 3 yrs,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant,73.8544541,18.521428,4227
 Manager (Service Operation),8 - 12 yrs,Chennai,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Training Manager,80.270186,13.0836939,5688
 DevOps Engineer Intern,0 - 1 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,5179
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),2 - 5 yrs,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.5797068,23.0216238,6185
 Java Developer,1 - 2 yrs,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.8773928,19.075989899999996,4877
 Sr. Manager- Business Development,15 - 22 yrs,Ahmedabad,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,72.5797068,23.0216238,6269
 Test Principal Engineer,8 - 10 yrs,Bengaluru,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,77.590082,12.9767936,1586
 Graphic Designer,2 - 7 yrs,Ahmedabad,"Design , Creative , User Experience","Architecture, Interior Design",Graphic Designer,72.5797068,23.0216238,3076
 Business Development Executive,1 - 3 yrs,Bengaluru,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer,77.590082,12.9767936,4264
 Animation Resident,2 - 6 yrs,Delhi,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing Executive,77.22193879999999,28.6517178,2876
Enterprise Business Development Representative, 1 - 3 Years,Bengaluru,"Sales , Retail , Business Development",IT-Software / Software Services,Sales Executive / Officer,77.590082,12.9767936,4577
 Dot Net Developer,2 - 5 yrs,"Chennai,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,79.8077463,11.9256207,4154
" Urgent Opening for ""US Staffing Professionals"" - Noida",1 - 5 yrs,"Delhi NCR,Noida","HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,121.0977529,14.671973199999998,2548
 Front Office Executive-Noida,1 - 2 yrs,Noida,"Executive Assistant , Front Office , Data Entry","Recruitment, Staffing",Receptionist,77.3271074,28.5707841,2882
 Project Executive/coordinator,2 - 4 yrs,Delhi (Bhikaji Cama) ,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator,77.18787090000001,28.5702618,6053
 Sterling OMS Architect,5 - 10 yrs,Chennai,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect,80.270186,13.0836939,1889
 Dot net Developer,3 - 5 yrs,"Gurgaon,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.00270015,28.42826235,6744
 Centreless Grinding Operator ,4 - 8 yrs,Pune,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician,73.8544541,18.521428,1586
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,8 - 13 yrs,Gurgaon,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,77.00270015,28.42826235,5161
 Sales Lead,3 - 7 yrs,Bengaluru,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer,77.590082,12.9767936,5684
 Senior Design Engineer - Manufacturing,6 - 8 yrs,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager,73.8544541,18.521428,3248
 Software Engineer Automation - Industrial Automation Job In Bangalore,3 - 5 yrs,Bengaluru,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead,77.590082,12.9767936,2265
 Looking For Assistant Manager - Healthcare (US Visa is Must),5 - 10 yrs,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical),80.270186,13.0836939,1569
 Senior Accounts Executive,4 - 8 yrs,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,88.35769124,22.5414185,3724
 QA for Voice Process (LE-0097-N1C),2 - 6 yrs,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive,73.8544541,18.521428,3930
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",0 - 3 yrs,Delhi NCR,Other,"Medical, Healthcare, Hospitals",Other,77.12121479999999,28.688243800000002,3934
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,4 - 9 yrs,Gurgaon,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager,77.00270015,28.42826235,6023
 Account Assistant,3 - 5 yrs,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant,73.8544541,18.521428,2776
 Informatica Faculty Job Requirement in Hyderabad,1 - 6 yrs,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,78.4740613,17.360589,1900
 SEO Expert/ Digital Marketing Gurgaon,2 - 4 yrs,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist,77.00270015,28.42826235,3304
 Head Engineering,5 - 10 yrs,Delhi,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager,77.22193879999999,28.6517178,6496
 Business Development Executive,5 - 10 yrs,Delhi,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Financial Analyst,77.22193879999999,28.6517178,3327
 PPC Executive,3 - 7 yrs,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist,77.00270015,28.42826235,5858
 Opening For the post of Mr/territory Business Manager in An Pharma,0 - 2 yrs,"Delhi NCR,Delhi","Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative,121.0977529,14.671973199999998,6677
 Deputy Manager - Program Management,2 - 6 yrs,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance,73.8544541,18.521428,6256
 Public Relations Manager - Bangalore,6 - 11 yrs,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager,77.590082,12.9767936,2980
 Female Fresher's Counsellor- Gurgaon,0 - 1 yrs,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Fresher,77.00270015,28.42826235,3203
 BE Chemical - Fresher,0 - 2 yrs,"Ahmedabad,Bharuch","Production , Manufacturing , Maintenance","Recruitment, Staffing",Fresher,72.9384385,21.7379333,2117
 Hiring a Valuation Associate (female Only),0 - 4 yrs,Gurgaon,Analytics & Business Intelligence,"Real Estate, Property",Other,77.00270015,28.42826235,6276
 Merchandising & Marketing- Professor,10 - 12 yrs,Pune,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,73.8544541,18.521428,5173
 Medical Transcriber,3 - 5 yrs,Delhi,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing,77.22193879999999,28.6517178,6125
 PHP Developer,0 - 3 yrs,"Noida,Noida/Greater Noida","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3327483,28.54322285,5518
 Business Development Manager,1 - 2 yrs,Noida,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager,77.3271074,28.5707841,5099
 Looking for a Job Change With a good package,1 - 5 yrs,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,5809
 Huge Requirement for Customer Care Executive with Fixed Salary,0 - 2 yrs,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,4466
Assistant Manager – BI&I (data Automation), 5 - 7 Years, Mumbai,"IT Software - Application Programming , Maintenance",Banking / Financial Services / Broking,IT/Networking-Manager,72.8773928,19.075989899999996,1565
 Field Sales Executive,0 - 2 yrs,Ghaziabad,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,77.45268496,28.721831599999998,3150
 Sr. Manager Sales Capability Building,10 - 15 yrs,Kolkata,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Sales Trainer,88.35769124,22.5414185,3702
 Service Ops Expert - Servc Del | Microland,2 - 5 yrs,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),72.8773928,19.075989899999996,5079
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females),4 - 9 yrs,"Ahmedabad,Indore","Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty",Trainer,75.82261559999999,22.7066324,6619
 Sales Manager,3 - 6 yrs,Chandigarh,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,76.7797143,30.733442100000005,4874
 Field Support Team-Supervisor,4 - 5 yrs,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance",Other,Technical Support Engineer,72.5797068,23.0216238,5698
 Sr. C# Developer,1 - 6 yrs,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.5797068,23.0216238,5162
 Sr Structural Engineer,5 - 10 yrs,Mumbai,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer,72.8773928,19.075989899999996,4160
 IT Security Head ,4 - 8 yrs,Hyderabad,"IT Software - Network Administration , Security","IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO,78.4740613,17.360589,3495
 Technical Support Executive,2 - 5 yrs,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Associate/Senior Associate -(Technical),73.8544541,18.521428,5049
 Analyst - Business Intelligence,1 - 3 yrs,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst,72.8773928,19.075989899999996,6346
Nokia WING Circuit Core - SMSC Engineer, 5 - 10 Years,Noida,"IT Software - Network Administration , Security",Telecom / ISP,Software Developer,77.3271074,28.5707841,2040
 Assistant Restaurant Manager / Restaurant Manager,5 - 7 yrs,Delhi NCR,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Restaurant Manager,77.12121479999999,28.688243800000002,4142
 Digital / Web Artist,0 - 3 yrs,"Mumbai,Mumbai","Design , Creative , User Experience","Advertising, PR, MR, Event Management",Graphic Designer,72.8773928,19.075989899999996,2409
 Business Development Manager,2 - 7 yrs,"Mumbai,Mumbai","Sales , Retail , Business Development","IT-Software, Software Services",Head/VP/GM/National Manager -Sales,72.8773928,19.075989899999996,5623
 Web/ GUI Designer,3 - 5 yrs,Gurgaon,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer,77.00270015,28.42826235,3031
" Web Designer - Html, CSS, Bootstrap, Photoshop",1 - 3 yrs,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing",Graphic/Web Designer,72.5797068,23.0216238,5617
 Python Developer,1 - 3 yrs,Chennai,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,80.270186,13.0836939,6417
 Web Designer,4 - 5 yrs,Ahmedabad,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer,72.5797068,23.0216238,6991
 AVP- FX MO,8 - 10 yrs,Mumbai,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations,72.8773928,19.075989899999996,2171
 Head - Project Management,15 - 20 yrs,Delhi NCR,"Production , Manufacturing , Maintenance","Real Estate, Property",Head/VP/GM-Operations,77.12121479999999,28.688243800000002,1704
 Walk- In For Development QA/ Regulatory Affairs,4 - 8 yrs,Hyderabad,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Research Scientist,78.4740613,17.360589,6937
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp),10 - 14 yrs,Delhi NCR,"Accounts , Finance , Tax , Company Secretary , Audit",Iron and Steel,Accounts Manager,77.12121479999999,28.688243800000002,2770
 Team Leader- Head Digital Prtnrshp & BD,8 - 12 yrs,Mumbai,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,72.8773928,19.075989899999996,6205
